City,Client ID,Client Name,Number of Records,Order ID,Zip Code,Goods Category,Goods Name,Goods Sub-Category,Profit,Region,Row ID,Office City Sales,State
Carbondale,1069,Pam Bennett,1,87112,62901,Office Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,1152.4173,Central,22164,1670.17,Illinois
Crystal Lake,3396,Stuart Wiley,1,87542,60014,Office Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,-140.7276,Central,19370,2327.54,Illinois
Granite City,2860,Joann Mullen,1,88284,62040,Office Furniture,Bush Mission Pointe Library,Bookcases,199.334,Central,22651,5161.2,Illinois
Romeoville,1089,Jon Padgett,1,90131,60441,Office Furniture,Bush Mission Pointe Library,Bookcases,-681.0948,Central,21658,1249.31,Illinois
Saint Charles,1080,Colleen Fletcher,1,88465,60174,Office Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,67.654000000,Central,18965,435.53,Illinois
Mount Prospect,3131,Jonathan Reilly,1,86802,60056,Office Furniture,Hon 4-Shelf Metal Bookcases,Bookcases,440.72,Central,18175,1115.56,Illinois
Northbrook,3197,Wallace Pugh,1,90852,60062,Office Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,-1414.41,Central,20206,510.4,Illinois
Schaumburg,1091,Joshua Keller,1,90140,60193,Office Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-213.32,Central,25530,311.86,Illinois
West Chicago,562,Keith Fowler,1,86352,60185,Office Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-592.9928,Central,20071,410.69,Illinois
Galesburg,1793,Derek Jernigan,1,87853,61401,Office Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-13706.464,Central,21284,6968.9,Illinois
Decatur,3398,Marc McDaniel,1,87544,62521,Office Furniture,Rush Hierlooms Collection Rich Wood Bookcases,Bookcases,1790.426,Central,22194,7158.1,Illinois
Belvidere,380,Marian Bryant,1,88939,61008,Office Furniture,"Sauder Facets Collection Library, Sky Alder Finish",Bookcases,-1059.2,Central,20013,2832.68,Illinois
Granite City,2860,Joann Mullen,1,88286,62040,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-393.96,Central,21892,2402.96,Illinois
Lafayette,1461,Norman Adams,1,86400,47905,Office Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Bookcases,2787.7472,Central,19504,5602.72,Indiana
Richmond,1622,Sue Boykin,1,87614,47374,Office Furniture,Bush Mission Pointe Library,Bookcases,-382.38,Central,19302,302.01,Indiana
Richmond,1548,John Bray,1,88492,47374,Office Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-83.4392,Central,26292,112.28,Indiana
Lawrence,1462,Billie Hensley,1,86407,46226,Office Furniture,Hon 4-Shelf Metal Bookcases,Bookcases,-144.43,Central,20930,105.98,Indiana
Kokomo,1434,Herman Decker,1,86833,46901,Office Furniture,"Hon Metal Bookcases, Black",Bookcases,41.18,Central,25018,461.58,Indiana
Jeffersonville,1417,Dorothy Huff,1,90542,47130,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-443.78,Central,20362,1114.01,Indiana
Burlington,1827,Vincent Hale,1,86958,52601,Office Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,-429.86,Central,19597,215.32,Iowa
Ames,1779,Samantha Hall,1,89945,50010,Office Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-160.46,Central,26335,112.28,Iowa
West Des Moines,2987,Natalie Watts,1,91180,50265,Office Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-103.624,Central,20816,1700.38,Iowa
Cedar Rapids,1966,Rose McCarthy,1,89457,52402,Office Furniture,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Bookcases,552.97,Central,19029,3086.9,Iowa
Kansas City,3043,Ruby Horowitz,1,86105,66104,Office Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-801.09,Central,20257,876.04,Kansas
Shawnee,286,Virginia Gay,1,89761,66203,Office Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-530.24,Central,19169,1155.73,Kansas
Olathe,180,Harold Briggs,1,90785,66062,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-214.86192,Central,22200,2854.42,Kansas
