Sales,Quantity,Profit,Discount,Region,State,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name,ï»¿Sales
,4,131.0296,0,South,Louisiana,CA-2015-158274,19-11-2015 00:00:00,24-11-2015 00:00:00,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,71203,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96
,5,41.986,0,South,Louisiana,CA-2015-158274,19-11-2015 00:00:00,24-11-2015 00:00:00,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,71203,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95
,2,7.25,0,South,Louisiana,CA-2015-158274,19-11-2015 00:00:00,24-11-2015 00:00:00,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,71203,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29
,7,-12.432,0.7,South,North Carolina,US-2015-156216,13-09-2015 00:00:00,17-09-2015 00:00:00,Standard Class,EA-14035,Erin Ashbrook,Corporate,United States,Charlotte,28205,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648
,2,22.298,0.2,South,Florida,CA-2015-167850,09-08-2015 00:00:00,16-08-2015 00:00:00,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,33710,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,178.384
,3,5.4432,0.2,South,Florida,CA-2015-167850,09-08-2015 00:00:00,16-08-2015 00:00:00,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,33710,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,15.552
,2,3.4684,0.2,South,Florida,CA-2015-113166,24-12-2015 00:00:00,26-12-2015 00:00:00,First Class,LF-17185,Luke Foster,Consumer,United States,Miami,33180,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,9.568
,6,9.768,0.2,South,North Carolina,CA-2015-155208,16-04-2015 00:00:00,20-04-2015 00:00:00,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,Wilmington,28403,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",39.072
,2,-3.6892,0.7,South,Florida,US-2015-150574,19-12-2015 00:00:00,25-12-2015 00:00:00,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,32216,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,4.812
,5,-18.585,0.2,South,Florida,US-2015-150574,19-12-2015 00:00:00,25-12-2015 00:00:00,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,32216,TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,247.8
